14/05/2024 04:29:39 PM : selenium.webdriver.common.selenium_manager : WARNING  : The chromedriver version (123.0.6312.86) detected in PATH at C:\Python Install\Lib\site-packages\seleniumbase\drivers\chromedriver.exe might not be compatible with the detected chrome version (124.0.6367.202); currently, chromedriver 124.0.6367.207 is recommended for chrome 124.*, so it is advised to delete the driver in PATH and retry
14/05/2024 04:29:40 PM : root         : INFO     :  ******** Portal_Smoke_Test_Cases Begin ********
14/05/2024 04:29:40 PM : root         : INFO     : ********** Test_VS_04 Begin  **********
14/05/2024 04:29:49 PM : root         : INFO     : current url: https://scecore5-vm.qa.facefirst.dev/
14/05/2024 04:29:49 PM : root         : INFO     : url is not open
14/05/2024 04:29:49 PM : root         : INFO     : opening localhost portal login
14/05/2024 04:29:49 PM : root         : INFO     : logging in to core
14/05/2024 04:29:49 PM : root         : INFO     : entered explicit wait for 10
14/05/2024 04:29:50 PM : root         : INFO     : exiting explicit wait..
14/05/2024 04:29:52 PM : root         : INFO     : entered explicit wait for 10
14/05/2024 04:29:52 PM : root         : INFO     : exiting explicit wait..
14/05/2024 04:29:54 PM : root         : INFO     : login success..
14/05/2024 04:29:56 PM : root         : INFO     : going to visitor search...
14/05/2024 04:29:56 PM : root         : INFO     : entered explicit wait for 10
14/05/2024 04:29:56 PM : root         : INFO     : exiting explicit wait..
14/05/2024 04:29:58 PM : root         : INFO     : waiting for search panel to appear...
14/05/2024 04:29:59 PM : root         : INFO     : entered explicit wait for 10
14/05/2024 04:29:59 PM : root         : INFO     : exiting explicit wait..
14/05/2024 04:30:00 PM : root         : INFO     : Root region name on VS: KROGER INTERNATIONAL - KCORP
14/05/2024 04:30:07 PM : root         : INFO     : current url: https://scecore5-vm.qa.facefirst.dev:5000/login
14/05/2024 04:30:07 PM : root         : INFO     : url is not open
14/05/2024 04:30:07 PM : root         : INFO     : opening dm login
14/05/2024 04:30:07 PM : root         : INFO     : logging in to DM
14/05/2024 04:30:07 PM : root         : INFO     : entered explicit wait for 10
14/05/2024 04:30:07 PM : root         : INFO     : exiting explicit wait..
14/05/2024 04:30:10 PM : root         : INFO     : entered explicit wait for 10
14/05/2024 04:30:10 PM : root         : INFO     : exiting explicit wait..
14/05/2024 04:30:10 PM : root         : INFO     : Login to DM... Welcome dialog is displayed..
14/05/2024 04:30:11 PM : root         : INFO     : entered explicit wait for 10
14/05/2024 04:30:11 PM : root         : INFO     : exiting explicit wait..
14/05/2024 04:30:14 PM : root         : INFO     : entered explicit wait for 10
14/05/2024 04:30:14 PM : root         : INFO     : exiting explicit wait..
14/05/2024 04:30:16 PM : root         : INFO     : Root region name on DM: KROGER INTERNATIONAL - KCORP
14/05/2024 04:30:18 PM : root         : INFO     : Root region names on VS and DM are same...
14/05/2024 04:30:19 PM : root         : INFO     : core User logged out from cloud menu..
14/05/2024 04:30:20 PM : root         : INFO     : status: [True]
